id_produto,nome_produto,categoria,subcategoria,marca,preco_unitario,custo_unitario
1,Iluminação Lume 001,Casa e Decoração,Iluminação,Lume,184.54,123.71
2,Bolsas Pulse 002,Moda,Bolsas,Pulse,581.95,293.6
3,Acessórios Max 003,Moda,Acessórios,Max,497.24,299.22
4,Acessórios Bella 004,Eletrônicos,Acessórios,Bella,3490.76,2971.37
5,Cuidados pessoais Pulse 005,Beleza,Cuidados pessoais,Pulse,425.48,254.26
6,Roupas Vitta 006,Moda,Roupas,Vitta,416.87,277.3
7,Calçados Max 007,Moda,Calçados,Max,408.85,213.09
8,Fitness Pulse 008,Esporte,Fitness,Pulse,1189.17,837.36
9,Suplementos Nexo 009,Esporte,Suplementos,Nexo,77.83,47.19
10,Cuidados pessoais Nova 010,Beleza,Cuidados pessoais,Nova,350.65,170.28
11,Calçados Bella 011,Moda,Calçados,Bella,64.81,29.43
12,Outdoor Vitta 012,Esporte,Outdoor,Vitta,158.43,123.62
13,Decoração Pulse 013,Casa e Decoração,Decoração,Pulse,355.48,233.69
14,Maquiagem Lume 014,Beleza,Maquiagem,Lume,449.01,237.67
15,Acessórios Nova 015,Moda,Acessórios,Nova,105.0,48.81
16,Organização Max 016,Casa e Decoração,Organização,Max,328.47,194.83
17,Cabelos Lume 017,Beleza,Cabelos,Lume,224.75,121.47
18,Outdoor Nova 018,Esporte,Outdoor,Nova,384.81,245.49
19,Smartphones Lume 019,Eletrônicos,Smartphones,Lume,2310.14,1782.64
20,Decoração Nexo 020,Casa e Decoração,Decoração,Nexo,181.77,130.51
21,Cabelos Pulse 021,Beleza,Cabelos,Pulse,119.7,65.68
22,Decoração Vitta 022,Casa e Decoração,Decoração,Vitta,374.16,225.44
23,Iluminação Bella 023,Casa e Decoração,Iluminação,Bella,403.71,302.42
24,Decoração Max 024,Casa e Decoração,Decoração,Max,684.52,402.67
25,Smartphones Nexo 025,Eletrônicos,Smartphones,Nexo,751.92,622.47
26,Fitness Max 026,Esporte,Fitness,Max,816.37,573.17
27,Acessórios Bella 027,Moda,Acessórios,Bella,259.82,174.46
28,Acessórios Bella 028,Moda,Acessórios,Bella,136.62,72.63
29,Roupas Prime 029,Moda,Roupas,Prime,215.38,137.92
30,Acessórios Lume 030,Eletrônicos,Acessórios,Lume,2463.82,1966.79
31,Bicicleta Bella 031,Esporte,Bicicleta,Bella,482.02,367.71
